filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
iamv2.json,/api/2.0/identity/accounts/{account_id}/users/{internal_id},account_iam_v2_get_user,get,User,"iamv2, account_iam_v2","account_id, internal_id",Fetches a user from the Databricks account by its internal ID.,Fetches a user from the Databricks account by its internal ID.  :param internal_id: str   Required. Internal ID of the user in Databricks.  :returns: :class:`User`,users,get,select,
iamv2.json,/api/2.0/identity/accounts/{account_id}/users/{internal_id},account_iam_v2_update_user,patch,User,"iamv2, account_iam_v2","account_id, internal_id, update_mask, user","Updates an existing user in the Databricks account, returning the updated User resource. The behavior","Updates an existing user in the Databricks account, returning the updated User resource. The behavior is the same whether or not Account Identity Management (AIM) is enabled. Only the fields named in the update mask are modified; the updatable fields are fullName.givenName, fullName.familyName, status, and externalId.  :param internal_id: str   Required. Internal ID of the user in Databricks. :param user: :class:`User`   Required. User to be updated in <Databricks> :param update_mask: str   Optional. The list of fields to update.  :returns: :class:`User`",users,update,update,
iamv2.json,/api/2.0/identity/accounts/{account_id}/workspaces/{workspace_id}/workspace-assignment-details/{principal_id},account_iam_v2_delete_workspace_assignment_detail,delete,,"iamv2, account_iam_v2","account_id, workspace_id, principal_id","Deletes a workspace assignment detail for a principal, revoking all associated entitlements.","Deletes a workspace assignment detail for a principal, revoking all associated entitlements. Entitlement revocations are applied individually and non-atomically — if a failure occurs partway through, the principal remains assigned with a subset of its original entitlements, and the operation is safe to retry.  :param workspace_id: int   The workspace ID where the principal has access. :param principal_id: int   Required. ID of the principal in Databricks to delete workspace assignment for.",workspace_assignment_details,delete,delete,
iamv2.json,/api/2.0/identity/accounts/{account_id}/workspaces/{workspace_id}/workspace-assignment-details/{principal_id},account_iam_v2_get_workspace_assignment_detail,get,WorkspaceAssignmentDetail,"iamv2, account_iam_v2","account_id, workspace_id, principal_id",Returns the assignment details for a principal in a workspace.,Returns the assignment details for a principal in a workspace.  :param workspace_id: int   Required. The workspace ID for which the assignment details are being requested. :param principal_id: int   Required. The internal ID of the principal (user/sp/group) for which the assignment details are   being requested.  :returns: :class:`WorkspaceAssignmentDetail`,workspace_assignment_details,get,select,
iamv2.json,/api/2.0/identity/accounts/{account_id}/workspaces/{workspace_id}/workspace-assignment-details/{principal_id},account_iam_v2_update_workspace_assignment_detail,patch,WorkspaceAssignmentDetail,"iamv2, account_iam_v2","account_id, workspace_id, principal_id, update_mask, workspace_assignment_detail",Updates the entitlements of a directly assigned principal in a workspace. Entitlement changes are,"Updates the entitlements of a directly assigned principal in a workspace. Entitlement changes are applied individually and non-atomically — if a failure occurs partway through, only a subset of the requested changes may have been applied. Use GetWorkspaceAssignmentDetail to confirm the final state.  :param workspace_id: int   Required. The workspace ID for which the workspace assignment detail is being updated. :param principal_id: int   Required. ID of the principal in Databricks. :param workspace_assignment_detail: :class:`WorkspaceAssignmentDetail`   Required. Workspace assignment detail to be updated in <Databricks>. :param update_mask: FieldMask   Required. The list of fields to update.  :returns: :class:`WorkspaceAssignmentDetail`",workspace_assignment_details,update,update,
iamv2.json,/api/2.0/identity/{name},account_iam_v2_get_external_user,get,ExternalUser,"iamv2, account_iam_v2",name,Retrieves an external user with the given external ID from the customer's IdP. If the user does not,"Retrieves an external user with the given external ID from the customer's IdP. If the user does not exist, it will be created. If the customer is not onboarded onto Automatic Identity Management (AIM), this will return an error.  :param name: str   Required. The resource name of the external user. Format:   accounts/{account_id}/external-users/{external_user_id}  :returns: :class:`ExternalUser`",external_users,get,select,
iamv2.json,/api/2.0/identity/accounts/{account_id}/workspaces/{workspace_id}/workspace-access-details/{principal_id},account_iam_v2_get_workspace_access_detail,get,WorkspaceAccessDetail,"iamv2, account_iam_v2","account_id, workspace_id, principal_id, view",Returns the access details for a principal in a workspace. Allows for checking access details for any,"Returns the access details for a principal in a workspace. Allows for checking access details for any provisioned principal (user, service principal, or group) in a workspace.  - Provisioned principal here refers to one that has been synced into Databricks from the customer's   IdP or added explicitly to Databricks via SCIM/UI. Allows for passing in a ""view"" parameter to   control what fields are returned (BASIC by default or FULL).  :param workspace_id: int   Required. The workspace ID for which the access details are being requested. :param principal_id: int   Required. The internal ID of the principal (user/sp/group) for which the access details are being   requested. :param view: :class:`WorkspaceAccessDetailView` (optional)   Controls what fields are returned.  :returns: :class:`WorkspaceAccessDetail`",workspace_access_details,get,select,
iamv2.json,/api/2.0/identity/accounts/{account_id}/principals/{principal_id}/transitive-parent-groups,account_iam_v2_list_transitive_parent_groups,get,ListTransitiveParentGroupsResponse,"iamv2, account_iam_v2","account_id, principal_id, page_size, page_token",Lists all transitive parent groups of a principal.,"Lists all transitive parent groups of a principal.  :param principal_id: int   Required. Internal ID of the principal in Databricks whose transitive parent groups are being   listed. :param page_size: int (optional)   The maximum number of parent groups to return. The service may return fewer than this value. If not   provided, defaults to 1000 (also the maximum allowed). :param page_token: str (optional)   A page token, received from a previous ListTransitiveParentGroups call. Provide this to retrieve the   subsequent page.  :returns: :class:`ListTransitiveParentGroupsResponse`",transitive_parent_groups,list,select,$.transitive_parent_groups
iamv2.json,/api/2.0/identity/accounts/{account_id}/workspaces/{workspace_id}/workspace-access-details,account_iam_v2_list_workspace_access_details,get,ListWorkspaceAccessDetailsResponse,"iamv2, account_iam_v2","account_id, workspace_id, page_size, page_token","Lists the access details of every provisioned principal (user, service principal, or group) with","Lists the access details of every provisioned principal (user, service principal, or group) with access to the given workspace, returning one page per call.  - Provisioned principal here refers to one that has been synced into Databricks from the customer's   IdP or added explicitly to Databricks via SCIM/UI.  :param workspace_id: int   The workspace ID for which the workspace access details are being fetched. :param page_size: int (optional)   The maximum number of workspace access details to return. The service may return fewer than this   value. :param page_token: str (optional)   A page token, received from a previous ListWorkspaceAccessDetails call. Provide this to retrieve the   subsequent page.  :returns: :class:`ListWorkspaceAccessDetailsResponse`",workspace_access_details,list,select,$.workspace_access_details
iamv2.json,/api/2.0/identity/accounts/{account_id}/groups/resolve-by-external-id,account_iam_v2_resolve_group,post,ResolveGroupResponse,"iamv2, account_iam_v2","account_id, external_id","Resolves a group with the given external ID from the customer's IdP. If the group does not exist, it","Resolves a group with the given external ID from the customer's IdP. If the group does not exist, it will be created in the account. If the customer is not onboarded onto Automatic Identity Management (AIM), this will return an error.  :param external_id: str   Required. The external ID of the group in the customer's IdP.  :returns: :class:`ResolveGroupResponse`",groups,resolve,exec,
iamv2.json,/api/2.0/identity/accounts/{account_id}/service-principals/resolve-by-external-id,account_iam_v2_resolve_service_principal,post,ResolveServicePrincipalResponse,"iamv2, account_iam_v2","account_id, external_id","Resolves an SP with the given external ID from the customer's IdP. If the SP does not exist, it will","Resolves an SP with the given external ID from the customer's IdP. If the SP does not exist, it will be created. If the customer is not onboarded onto Automatic Identity Management (AIM), this will return an error.  :param external_id: str   Required. The external ID of the service principal in the customer's IdP.  :returns: :class:`ResolveServicePrincipalResponse`",service_principals,resolve,exec,
iamv2.json,/api/2.0/identity/accounts/{account_id}/users/resolve-by-external-id,account_iam_v2_resolve_user,post,ResolveUserResponse,"iamv2, account_iam_v2","account_id, external_id","Resolves a user with the given external ID from the customer's IdP. If the user does not exist, it","Resolves a user with the given external ID from the customer's IdP. If the user does not exist, it will be created. If the customer is not onboarded onto Automatic Identity Management (AIM), this will return an error.  :param external_id: str   Required. The external ID of the user in the customer's IdP.  :returns: :class:`ResolveUserResponse`",users,resolve,exec,
